Date,Price
"Oct 24, 2021",9.5332
"Oct 17, 2021",9.5757
"Oct 10, 2021",9.2517
"Oct 03, 2021",8.9614
"Sep 26, 2021",8.8552
"Sep 19, 2021",8.8786
"Sep 12, 2021",8.6283
"Sep 05, 2021",8.4553
"Aug 29, 2021",8.3049
"Aug 22, 2021",8.3434
"Aug 15, 2021",8.4852
"Aug 08, 2021",8.5171
"Aug 01, 2021",8.616
"Jul 25, 2021",8.4333
"Jul 18, 2021",8.5471
"Jul 11, 2021",8.5144
"Jul 04, 2021",8.6461
"Jun 27, 2021",8.6792
"Jun 20, 2021",8.7493
"Jun 13, 2021",8.7257
"Jun 06, 2021",8.3818
"May 30, 2021",8.6563
"May 23, 2021",8.5484
"May 16, 2021",8.4066
"May 09, 2021",8.4413
"May 02, 2021",8.2336
"Apr 25, 2021",8.2735
"Apr 18, 2021",8.3762
"Apr 11, 2021",8.0567
"Apr 04, 2021",8.1534
"Mar 28, 2021",8.1619
"Mar 21, 2021",8.135
"Mar 14, 2021",7.219
"Mar 07, 2021",7.5636
"Feb 28, 2021",7.5388
"Feb 21, 2021",7.4253
"Feb 14, 2021",6.9637
"Feb 07, 2021",7.0369
"Jan 31, 2021",7.0538
"Jan 24, 2021",7.3149
"Jan 17, 2021",7.4146
"Jan 10, 2021",7.4753
"Jan 03, 2021",7.3762
"Dec 27, 2020",7.4392
"Dec 20, 2020",7.5575
"Dec 13, 2020",7.6289
"Dec 06, 2020",7.8612
"Nov 29, 2020",7.8031
"Nov 22, 2020",7.8352
"Nov 15, 2020",7.6359
"Nov 08, 2020",7.6642
"Nov 01, 2020",8.525
"Oct 25, 2020",8.3468
"Oct 18, 2020",7.9648
"Oct 11, 2020",7.9344
"Oct 04, 2020",7.8593
"Sep 27, 2020",7.7748
"Sep 20, 2020",7.6647
"Sep 13, 2020",7.5603
"Sep 06, 2020",7.4764
"Aug 30, 2020",7.4371
"Aug 23, 2020",7.3349
"Aug 16, 2020",7.3386
"Aug 09, 2020",7.3698
"Aug 02, 2020",7.2941
"Jul 26, 2020",6.9719
"Jul 19, 2020",6.8484
"Jul 12, 2020",6.8586
"Jul 05, 2020",6.8658
"Jun 28, 2020",6.8624
"Jun 21, 2020",6.8546
"Jun 14, 2020",6.853
"Jun 07, 2020",6.8126
"May 31, 2020",6.77
"May 24, 2020",6.8202
"May 17, 2020",6.8147
"May 10, 2020",6.9012
"May 03, 2020",7.084
"Apr 26, 2020",7.012
"Apr 19, 2020",6.9742
"Apr 12, 2020",6.9318
"Apr 05, 2020",6.7001
"Mar 29, 2020",6.731
"Mar 22, 2020",6.455
"Mar 15, 2020",6.5525
"Mar 08, 2020",6.3321
"Mar 01, 2020",6.0919
"Feb 23, 2020",6.2427
"Feb 16, 2020",6.0964
"Feb 09, 2020",6.0505
"Feb 02, 2020",6.0153
"Jan 26, 2020",5.9822
"Jan 19, 2020",5.9391
"Jan 12, 2020",5.8908
"Jan 05, 2020",5.8777
"Dec 29, 2019",5.9723
"Dec 22, 2019",5.9502
"Dec 15, 2019",5.94
"Dec 08, 2019",5.8082
"Dec 01, 2019",5.7766
"Nov 24, 2019",5.747
"Nov 17, 2019",5.7132
"Nov 10, 2019",5.7453
"Nov 03, 2019",5.7668
"Oct 27, 2019",5.7124
"Oct 20, 2019",5.7748
"Oct 13, 2019",5.7919
"Oct 06, 2019",5.8853
"Sep 29, 2019",5.6962
"Sep 22, 2019",5.6708
"Sep 15, 2019",5.7439
"Sep 08, 2019",5.6861
"Sep 01, 2019",5.7155
"Aug 25, 2019",5.8306
"Aug 18, 2019",5.7599
"Aug 11, 2019",5.5785
"Aug 04, 2019",5.4917
"Jul 28, 2019",5.5597
"Jul 21, 2019",5.6718
"Jul 14, 2019",5.6551
"Jul 07, 2019",5.72
